"filename", "language", "CSS", "JavaScript", "HTML", "comment", "blank", "total"
"/Users/kamyarmazloom/Documents/the_odin_project/todo-list/dist/index.html", "HTML", 0, 0, 15, 0, 1, 16
"/Users/kamyarmazloom/Documents/the_odin_project/todo-list/dist/main.js", "JavaScript", 0, 10, 0, 0, 1, 11
"/Users/kamyarmazloom/Documents/the_odin_project/todo-list/dist/style.css", "CSS", 213, 0, 0, 0, 1, 214
"Total", "-", 213, 10, 15, 0, 3, 241
